location,population,HighestInfectionCount,PercentPopulationInfect
Cyprus,896007,622102,69.43048436
San Marino,33690,22615,67.12674384
Faeroe Islands,53117,34658,65.24841388
Austria,8939617,5622037,62.88901415
Gibraltar,32677,20207,61.83860207
Slovenia,2119843,1279297,60.34866733
Andorra,79843,47446,59.42411984
Brunei,449002,264490,58.90619641
Denmark,5882259,3368415,57.26396951
France,67813000,38652650,56.99887927
Saint Pierre and Miquelon,5885,3306,56.17672048
Iceland,372903,207101,55.53749903
Portugal,10270857,5549479,54.03131404
South Korea,51815808,27925572,53.89392365
Liechtenstein,39355,21124,53.67551772
Greece,10384972,5500737,52.96824103
Latvia,1850654,968992,52.35943618
Falkland Islands,3801,1930,50.77611155
Israel,9449000,4741232,50.17707694
Switzerland,8740471,4373011,50.03175458
Netherlands,17564020,8564051,48.75905971
Georgia,3744385,1807654,48.27639252
Luxembourg,647601,309253,47.75363225
Bahrain,1472237,697520,47.37824141
Slovakia,5643455,2653246,47.0145682
Seychelles,107135,50068,46.73356046
Lithuania,2750058,1280625,46.56719967
Estonia,1326064,610473,46.03646581
Cayman Islands,68722,31359,45.63167545
Montenegro,627082,284176,45.31719935
Isle of Man,84534,38008,44.96179052
Germany,83369840,36859058,44.21150143
Czechia,10493990,4568993,43.53914002
Monaco,36491,15784,43.25450111
Bonaire Sint Eustatius and Saba,27052,11596,42.86559219
Italy,59037472,24709404,41.85376366
Australia,26177410,10870758,41.52724811
Aruba,106459,44145,41.46666792
Saint Helena,5401,2166,40.1036845
Belgium,11655923,4654473,39.9322559
New Zealand,5185289,2019888,38.95420294
Singapore,5637022,2183605,38.73685432
Cook Islands,17032,6389,37.5117426
Marshall Islands,41593,15547,37.37888587
Barbados,281646,104944,37.26095879
Nauru,12691,4621,36.41163029
United Kingdom,67508936,24053576,35.6302105
Taiwan,23893396,8498195,35.56712909
Serbia,6871547,2440825,35.52074955
Maldives,523798,185651,35.44324339
Ireland,5023108,1682409,33.49338696
Palau,18084,5933,32.80800708
Europe,744807803,242635985,32.57699289
Montserrat,4413,1403,31.79243145
Croatia,4030361,1257412,31.19849562
Hong Kong,7488863,2275447,30.38441216
Mongolia,3398373,1006851,29.62744231
Oceania,45038860,13294655,29.51818718
Wallis and Futuna,11596,3415,29.44981028
United States,338289856,99526290,29.42041809
Uruguay,3422796,998047,29.1588222
Bermuda,64207,18519,28.84264956
Spain,47558632,13632635,28.66490146
Norway,5434324,1471342,27.07497749
New Caledonia,289959,78244,26.98450471
Finland,5540745,1417909,25.59058394
French Polynesia,306292,77704,25.36925548
Chile,19603736,4963204,25.31764353
Sweden,10549349,2640369,25.02873874
Tuvalu,11335,2828,24.94927217
Anguilla,15877,3904,24.58902815
Curacao,191173,45986,24.05465207
British Virgin Islands,31332,7305,23.31482191
Panama,4408582,1015970,23.0452785
Lebanon,5489744,1221273,22.24644719
Costa Rica,5180836,1152466,22.24478829
Mauritius,1299478,284994,21.93142169
Hungary,9967304,2171056,21.7817777
Malta,533293,116000,21.75164497
Dominica,72758,15760,21.66084829
Argentina,45510324,9766975,21.46100959
Japan,123951696,26331295,21.24319057
Greenland,56494,11971,21.18986087
Turkey,85341248,16919638,19.82586193
North America,600323657,117806271,19.62379287
Micronesia (country),114178,22203,19.44595281
Bulgaria,6781955,1289474,19.01330811
Moldova,3272993,595745,18.20184156
Qatar,2695131,485064,17.99778935
Belize,405285,69376,17.11783066
Romania,19659270,3301662,16.79442828
Brazil,215313504,35696918,16.57904281
Saint Lucia,179872,29729,16.52786426
North Macedonia,2093606,345197,16.48815489
Armenia,2780472,445881,16.03616221
Poland,39857144,6358786,15.95394291
Grenada,125459,19644,15.65770491
Kuwait,4268886,662747,15.52505736
Jordan,11285875,1746997,15.47949982
Kosovo,1782115,272219,15.2750524
Tonga,106867,16182,15.14218608
South America,436816679,65749489,15.05196394
Malaysia,33938216,5012483,14.76943573
Russia,144713312,21370489,14.7674659
Ukraine,39701744,5653110,14.23894628
Turks and Caicos Islands,45726,6463,14.13419061
Saint Kitts and Nevis,47681,6559,13.75600344
Palestine,5250076,703228,13.39462514
Suriname,618046,81581,13.19982655
Peru,34049588,4376905,12.85450209
Botswana,2630300,328760,12.49895449
Bosnia and Herzegovina,3233530,400722,12.39271013
Colombia,51874028,6317010,12.17759685
Trinidad and Tobago,1531043,185708,12.1295091
Vietnam,98186856,11529639,11.74254831
Albania,2842318,333567,11.73573822
Canada,38454328,4469719,11.62344847
Paraguay,6780745,778895,11.48686464
United Arab Emirates,9441138,1045708,11.07608002
Cape Verde,593162,63144,10.64532118
Belarus,9534956,994037,10.42518707
Cuba,11212198,1111569,9.913925887
Antigua and Barbuda,93772,9106,9.710787868
Tunisia,12356116,1147282,9.285134584
Bolivia,12224114,1122783,9.184984695
Bahamas,409989,37491,9.144391679
Saint Vincent and the Grenadines,103959,9500,9.138217951
Guyana,808727,71757,8.872833478
Oman,4576300,399119,8.721434347
Iran,88550568,7560247,8.53777358
Bhutan,782457,62521,7.990343239
Azerbaijan,10358078,824943,7.964247807
Kazakhstan,19397998,1488306,7.67247218
Libya,6812344,507112,7.444016333
Fiji,929769,68553,7.373121711
Samoa,222390,15970,7.181078286
South Africa,59893884,4045472,6.754399164
Namibia,2567024,169946,6.620351037
Guatemala,17843914,1174448,6.581784691
Thailand,71697024,4715489,6.576966151
Eswatini,1201680,73908,6.150389455
Dominican Republic,11228821,652925,5.814724449
Ecuador,18001002,1024914,5.69364972
Mexico,127504120,7165257,5.619627821
Iraq,44496124,2464375,5.53840375
Jamaica,2827382,152669,5.399659473
Honduras,10432858,460714,4.415990326
Asia,4721383370,198390018,4.201946812
Vanuatu,326744,11981,3.666785006
Vatican,808,29,3.589108911
Philippines,115559008,4050866,3.505452383
Solomon Islands,724272,24575,3.393062275
Morocco,37457976,1270318,3.39131511
Nepal,30547586,1000941,3.276661534
El Salvador,6336393,201785,3.184540479
India,1417173120,44676318,3.152495441
Kyrgyzstan,6630621,206553,3.115138084
Sri Lanka,21832150,671770,3.076975928
Laos,7529477,217289,2.885844528
Sao Tome and Principe,227393,6279,2.761298721
Kiribati,131237,3430,2.613592203
Indonesia,275501344,6702132,2.432703922
Saudi Arabia,36408824,826312,2.269537736
Gabon,2388997,48973,2.049939786
Venezuela,28301700,548570,1.938293459
Timor,1341298,23375,1.742714893
Zambia,20017670,333746,1.667256978
Zimbabwe,16320539,259356,1.589138692
Lesotho,2305826,34490,1.495776351
Djibouti,1120851,15690,1.399829237
Mauritania,4736146,63425,1.339169021
Bangladesh,171186368,2036845,1.189840654
Myanmar,54179312,633475,1.169219351
Comoros,836783,8977,1.072799041
Equatorial Guinea,1674916,17184,1.025961899
Rwanda,13776702,132811,0.964026078
Africa,1426736614,12447396,0.872438254
Cambodia,16767851,138302,0.824804562
Uzbekistan,34627648,248268,0.716964664
Mozambique,32969520,230816,0.700089052
Pakistan,235824864,1575486,0.668074593
Kenya,54027484,342155,0.633298045
Algeria,44903228,271149,0.60385191
Senegal,17316452,88887,0.513309539
Ghana,33475870,171023,0.510884407
Afghanistan,41128772,206743,0.502672436
Gambia,2705995,12586,0.46511542
Egypt,110990096,515645,0.464586498
Papua New Guinea,10142625,46457,0.458037244
Togo,8848700,39337,0.444551177
Cameroon,27914542,123993,0.444187836
Malawi,20405318,88220,0.432338276
Congo,5970430,25375,0.425011264
Guinea-Bissau,2105580,8848,0.420216757
Ethiopia,123379928,495420,0.401540192
Burundi,12889583,51276,0.397809611
Uganda,47249588,169810,0.359389377
Cote d'Ivoire,28160548,87902,0.312145914
Angola,35588996,104808,0.294495523
Haiti,11585003,33874,0.292395263
Eritrea,3684041,10189,0.276571298
Guinea,13859349,38153,0.2752871
Central African Republic,5579148,15311,0.274432584
Syria,22125242,57421,0.259527105
Madagascar,29611718,67621,0.228358922
Nicaragua,6948395,15263,0.219662239
Benin,13352864,27980,0.209543061
Tajikistan,9952789,17786,0.178703678
South Sudan,10913172,18352,0.168163757
Macao,695180,1142,0.164274001
Somalia,17597508,27300,0.155135602
Liberia,5302690,8037,0.151564583
Mali,22593598,32764,0.14501453
Sudan,46874200,63663,0.135816718
China,1425887360,1891352,0.132643858
Nigeria,218541216,266381,0.121890509
Democratic Republic of Congo,99010216,94714,0.095660836
Burkina Faso,22673764,21631,0.095401011
Sierra Leone,8605723,7760,0.090172551
Tanzania,65497752,40806,0.062301375
Chad,17723312,7648,0.043152205
Niger,26207982,9434,0.035996667
Yemen,33696612,11945,0.035448668
North Korea,26069416,1,3.84E-06
England,56550000,0,0
Guam,171783,0,0
Guernsey,63329,0,0
